Name,Archetype,Variant,Placement,Date,Format,Day
"Brown, CJ",Mannadium,Pure,1,1/3/2024,01/01/2024,Wednesday
"Kelly, Evan",Fire King,Sinful-Spoil,2,1/3/2024,01/01/2024,Wednesday
"Whiteway, Nicholas",Dark World,Pure,3,1/3/2024,01/01/2024,Wednesday
"Sharpe, Chris",Dragon Link,Pure,4,1/3/2024,01/01/2024,Wednesday
"Marshall, Nick",Dinosaur,Pure,1,1/7/2024,01/01/2024,Sunday
"Wells, Nick",Traptrix,Pure,2,1/7/2024,01/01/2024,Sunday
"Stoyles, Chris",Vanquish Soul,Pure,3,1/7/2024,01/01/2024,Sunday
"Fifield, Jacob",Blue-Eyes,Pure,4,1/7/2024,01/01/2024,Sunday
"Brown, CJ",Mannadium,Pure,1,1/10/2024,01/01/2024,Wednesday
"Sharpe, Chris",Dragon Link,Pure,2,1/10/2024,01/01/2024,Wednesday
"Combden, Blake",Orcust,Horus,3,1/10/2024,01/01/2024,Wednesday
"Marshall, Nick",Dinosaur,Pure,4,1/10/2024,01/01/2024,Wednesday
"Wells, Nick",Fire King,Dogmatika,1,1/17/2024,01/01/2024,Wednesday
"Brown, CJ",Mannadium,Pure,2,1/17/2024,01/01/2024,Wednesday
"Butt, Steve",Labrynth,Unchained,3,1/17/2024,01/01/2024,Wednesday
"Combden, Blake",Orcust,Horus,4,1/17/2024,01/01/2024,Wednesday
"Combden, Blake",Orcust,Horus,1,1/21/2024,01/01/2024,Sunday
"Sharpe, Chris",Dragon Link,Pure,2,1/21/2024,01/01/2024,Sunday
"Kelly, Evan",Spright,Adventurer Token,3,1/21/2024,01/01/2024,Sunday
"Rendell, Milo",Fire King,Sinful-Spoil,4,1/21/2024,01/01/2024,Sunday
"Brown, CJ",Mannadium,Bystial,1,1/24/2024,01/01/2024,Wednesday
"Kelly, Evan",Spright,Adventurer Token,2,1/24/2024,01/01/2024,Wednesday
"Butt, Steve",Labrynth,Unchained,3,1/24/2024,01/01/2024,Wednesday
"Sharpe, Chris",ABC,Therion,4,1/24/2024,01/01/2024,Wednesday
"Kelly, Evan",Spright,Adventurer Token,1,1/28/2024,01/01/2024,Sunday
"Hunt, Tyler",Vanquish Soul,Pure,2,1/28/2024,01/01/2024,Sunday
"Marshall, Nick",Dinosaur,Pure,3,1/28/2024,01/01/2024,Sunday
"Sharpe, Chris",Dragon Link,Pure,4,1/28/2024,01/01/2024,Sunday
"Hunt, Tyler",Vanquish Soul,Pure,1,1/31/2024,01/01/2024,Wednesday
"Bugden, Johnny",Unchained,Adventurer Token,2,1/31/2024,01/01/2024,Wednesday
"Sharpe, Chris",Dragon Link,Pure,3,1/31/2024,01/01/2024,Wednesday
"Marshall, Nick",Dinosaur,Pure,4,1/31/2024,01/01/2024,Wednesday
"Marshall, Nick",Dinosaur,Pure,1,2/4/2024,01/01/2024,Sunday
"Kelly, Evan",Spright,Pure,2,2/4/2024,01/01/2024,Sunday
"Wells, Nick",Ghoti,Pure,3,2/4/2024,01/01/2024,Sunday
"Bugden, Johnny",Unchained,Adventurer Token,4,2/4/2024,01/01/2024,Sunday
"Combden, Blake",Horus,Orcust,1,2/7/2024,01/01/2024,Wednesday
"Baker, River",Rescue-Ace,Sinful-Spoil,2,2/7/2024,01/01/2024,Wednesday
"Butt, Steve",Labrynth,Unchained,3,2/7/2024,01/01/2024,Wednesday
"Noseworthy, Greg",Branded,Pure,4,2/7/2024,01/01/2024,Wednesday
"Hunt, Tyler",Voiceless Voice,Pure,1,2/11/2024,01/01/2024,Sunday
"Joseph, Daniel",Purrely,Pure,2,2/11/2024,01/01/2024,Sunday
"Marshall, Nick",Dinosaur,Pure,3,2/11/2024,01/01/2024,Sunday
"Brown, CJ",Tearlaments,Kashtira,4,2/11/2024,01/01/2024,Sunday
"Brown, CJ",Majespecter,Pure,1,2/21/2024,01/01/2024,Wednesday
"Bugden, Johnny",Unchained,Pure,2,2/21/2024,01/01/2024,Wednesday
"Wells, Nick",Voiceless Voice,Pure,3,2/21/2024,01/01/2024,Wednesday
"Hunt, Tyler",Voiceless Voice,Pure,4,2/21/2024,01/01/2024,Wednesday
"Wells, Nick",Voiceless Voice,Pure,1,2/25/2024,01/01/2024,Sunday
"Kelly, Evan",Snake-Eye,Fire King,2,2/25/2024,01/01/2024,Sunday
"Brown, CJ",Majespecter,Pure,3,2/25/2024,01/01/2024,Sunday
"Marshall, Nick",Dinosaur,Pure,4,2/25/2024,01/01/2024,Sunday
"Combden, Blake",Horus,Orcust,1,3/6/2024,01/01/2024,Wednesday
"Butt, Steve",Centur-ION,Pure,2,3/6/2024,01/01/2024,Wednesday
"Whiteway, Nicholas",Kashtira,Pure,3,3/6/2024,01/01/2024,Wednesday
"Joseph, Daniel",Branded,Despia,4,3/6/2024,01/01/2024,Wednesday
"Butt, Steve",Centur-ION,Pure,1,3/13/2024,01/01/2024,Wednesday
"Sharpe, Chris",ABC,Pure,2,3/13/2024,01/01/2024,Wednesday
"Kelly, Evan",Yubel,Pure,3,3/13/2024,01/01/2024,Wednesday
"Hunt, Tyler",Voiceless Voice,Pure,4,3/13/2024,01/01/2024,Wednesday
"Freeman, Shane",Shark,Armoured XYZ,1,3/17/2024,01/01/2024,Sunday
"Kelly, Evan",Live★Twin,Unchained,2,3/17/2024,01/01/2024,Sunday
"Brown, CJ",Ashened,Kashtira,3,3/17/2024,01/01/2024,Sunday
"Rendell, Milo",Snake-Eye,Rescue-Ace,4,3/17/2024,01/01/2024,Sunday
"Brown, CJ",Ashened,Kashtira,1,3/20/2024,01/01/2024,Wednesday
"Gallant, Jake",Resonator,Bystial,2,3/20/2024,01/01/2024,Wednesday
"Kelly, Evan",Yubel,Unchained,3,3/20/2024,01/01/2024,Wednesday
"Wells, Nick",Voiceless Voice,Pure,4,3/20/2024,01/01/2024,Wednesday
"Kelly, Evan",Snake-Eye,Fire King,1,3/27/2024,01/01/2024,Wednesday
"Bugden, Johnny",Unchained,Pure,2,3/27/2024,01/01/2024,Wednesday
"Critch, Matthew",Snake-Eye,Fire King,3,3/27/2024,01/01/2024,Wednesday
"Butt, Kody",Evil Eye,Pure,4,3/27/2024,01/01/2024,Wednesday
"Brown, CJ",Ashened,Kashtira,1,4/3/2024,01/01/2024,Wednesday
"Combden, Blake",Branded,Chimera,2,4/3/2024,01/01/2024,Wednesday
"Critch, Matthew",Voiceless Voice,Pure,3,4/3/2024,01/01/2024,Wednesday
"Butt, Kody",HERO,Pure,4,4/3/2024,01/01/2024,Wednesday
"Hunt, Tyler",Floowandereeze,Pure,1,4/7/2024,01/01/2024,Sunday
"Critch, Matthew",Voiceless Voice,Pure,2,4/7/2024,01/01/2024,Sunday
"Sharpe, Chris",Dragon Link,Pure,3,4/7/2024,01/01/2024,Sunday
"Kelly, Evan",Snake-Eye,Kashtira,4,4/7/2024,01/01/2024,Sunday
"Hunt, Tyler",Floowandereeze,Pure,1,4/10/2024,01/01/2024,Wednesday
"Butt, Kody",Runick,Stun,2,4/10/2024,01/01/2024,Wednesday
"Noseworthy, Greg",Branded,Despia,3,4/10/2024,01/01/2024,Wednesday
"Sharpe, Chris",ABC,Pure,4,4/10/2024,01/01/2024,Wednesday
"Joseph, Daniel",Voiceless Voice,Pure,1,4/14/2024,01/01/2024,Sunday
"Sharpe, Chris",ABC,Pure,2,4/14/2024,01/01/2024,Sunday
"Wells, Koady",T.G.,Pure,3,4/14/2024,01/01/2024,Sunday
"Foley, Nicholas",Runick,Stun,4,4/14/2024,01/01/2024,Sunday
"Bugden, Johnny",Unchained,Pure,1,4/17/2024,04/15/2024,Wednesday
"Mesher, Brandon",Runick,Stun,2,4/17/2024,04/15/2024,Wednesday
"Wells, Nick",Mikanko,Pure,3,4/17/2024,04/15/2024,Wednesday
"Critch, Matthew",Majespecter,Dracoslayer,4,4/17/2024,04/15/2024,Wednesday
"Butt, Steve",Centur-ION,Bystial,1,4/21/2024,04/15/2024,Sunday
"Freeman, Shane",Yubel,Pure,2,4/21/2024,04/15/2024,Sunday
"Wells, Nick",Voiceless Voice,Pure,3,4/21/2024,04/15/2024,Sunday
"Hunt, Tyler",Voiceless Voice,Pure,4,4/21/2024,04/15/2024,Sunday
"Bishop, William",Branded,Eldlich,1,4/24/2024,04/15/2024,Wednesday
"Wells, Nick",Tistina,Pure,2,4/24/2024,04/15/2024,Wednesday
"Good, Keenan",Swordsoul,Tenyi,3,4/24/2024,04/15/2024,Wednesday
"Hunt, Tyler",Floowandereeze,Pure,4,4/24/2024,04/15/2024,Wednesday
"Gallant, Jake",Labrynth,Pure,1,5/1/2024,04/15/2024,Wednesday
"Butt, Steve",Centur-ION,Pure,2,5/1/2024,04/15/2024,Wednesday
"Wells, Nick",Voiceless Voice,Pure,3,5/1/2024,04/15/2024,Wednesday
"Baker, River",Momento,Pure,4,5/1/2024,04/15/2024,Wednesday
"Hunt, Tyler",Voiceless Voice,Pure,1,5/19/2024,04/15/2024,Sunday
"Freeman, Shane",Yubel,Pure,2,5/19/2024,04/15/2024,Sunday
"Rendell, Milo",Vanquish Soul,Pure,3,5/19/2024,04/15/2024,Sunday
"Bugden, Johnny",Unchained,Pure,4,5/19/2024,04/15/2024,Sunday
"Wells, Koady",Melodious,Pure,1,5/22/2024,04/15/2024,Wednesday
"Hunt, Tyler",Voiceless Voice,Pure,2,5/22/2024,04/15/2024,Wednesday
"Butt, Steve",Centur-ION,Pure,3,5/22/2024,04/15/2024,Wednesday
"Brown, CJ",Snake-Eye,Infernoid,4,5/22/2024,04/15/2024,Wednesday
"Combden, Blake",Chimera,Pure,1,5/26/2024,04/15/2024,Sunday
"Sharpe, Chris",Tenpai,Pure,2,5/26/2024,04/15/2024,Sunday
"Freeman, Shane",Tenpai,Pure,3,5/26/2024,04/15/2024,Sunday
"Wells, Nick",Yubel,Pure,4,5/26/2024,04/15/2024,Sunday
"Sharpe, Chris",Tenpai,Pure,1,6/2/2024,04/15/2024,Sunday
"Freeman, Shane",Yubel,Pure,2,6/2/2024,04/15/2024,Sunday
"Kelly, Evan",Melodious,Pure,3,6/2/2024,04/15/2024,Sunday
"Hunt, Tyler",Vanquish Soul,Pure,4,6/2/2024,04/15/2024,Sunday
"Freeman, Shane",Yubel,Pure,1,6/5/2024,04/15/2024,Wednesday
"Whiteway, Nicholas",Ancient Gear,Pure,2,6/5/2024,04/15/2024,Wednesday
"Hunt, Tyler",Purrely,Pure,3,6/5/2024,04/15/2024,Wednesday
"Parsons, Sam",Yubel,Pure,4,6/5/2024,04/15/2024,Wednesday
"Kelly, Evan",Melodious,Pure,1,6/9/2024,04/15/2024,Sunday
"Sharpe, Chris",Tenpai,Pure,2,6/9/2024,04/15/2024,Sunday
"Hunt, Tyler",Purrely,Pure,3,6/9/2024,04/15/2024,Sunday
"Noseworthy, Greg",Branded,Chimera,4,6/9/2024,04/15/2024,Sunday
"Butt, Steve",Centur-ION,Bystial,1,06/12/2024,04/15/2024,Wednesday
"Kelly, Evan",Melodious,Pure,2,06/12/2024,04/15/2024,Wednesday
"Sharpe, Chris",Tenpai,Pure,3,06/12/2024,04/15/2024,Wednesday
"Brown, CJ",Snake-Eye,Sky Striker,4,06/12/2024,04/15/2024,Wednesday
"Kelly, Evan",Melodious,Pure,1,6/16/2024,04/15/2024,Sunday
"Combden, Blake",Chimera,Pure,2,6/16/2024,04/15/2024,Sunday
"Marshall, Nick",Tenpai,Pure,3,6/16/2024,04/15/2024,Sunday
"Hunt, Tyler",Floowandereeze,Pure,4,6/16/2024,04/15/2024,Sunday
"Bugden, Johnny",Unchained,Pure,1,6/23/2024,04/15/2024,Sunday
"Sears, Ben",Genex,Pure,2,6/23/2024,04/15/2024,Sunday
"Sharpe, Chris",Tenpai,Pure,3,6/23/2024,04/15/2024,Sunday
"Foley, Nicholas",Goblin,Pure,4,6/23/2024,04/15/2024,Sunday
"Hunt, Tyler",Voiceless Voice,Pure,1,6/26/2024,04/15/2024,Wednesday
"Kelly, Evan",Melodious,Pure,2,6/26/2024,04/15/2024,Wednesday
"Wells, Nick",Yubel,Pure,3,6/26/2024,04/15/2024,Wednesday
"Brown, CJ",Snake-Eye,Infernoid,4,6/26/2024,04/15/2024,Wednesday
"Wells, Nick",Yubel,Pure,1,6/30/2024,04/15/2024,Sunday
"Combden, Blake",Chimera,Branded,2,6/30/2024,04/15/2024,Sunday
"Bugden, Johnny",Unchained,Yubel,3,6/30/2024,04/15/2024,Sunday
"Oak, Jenevelle",Branded,Despia,4,6/30/2024,04/15/2024,Sunday
"Brown, CJ",Ritual Beast,Nemeses,1,7/3/2024,04/15/2024,Wednesday
"Hunt, Tyler",Vanquish Soul,Pure,2,7/3/2024,04/15/2024,Wednesday
"Bugden, Johnny",Unchained,Yubel,3,7/3/2024,04/15/2024,Wednesday
"Noseworthy, Greg",Chimera,Branded,4,7/3/2024,04/15/2024,Wednesday
